id_acteur,nom,prenom,date_naiss,nationalite
1,McConaughey,Matthew,1969-11-04,USA
2,Hathaway,Anne,1982-11-12,USA
3,DiCaprio,Leonardo,1974-11-11,USA
4,Cotillard,Marion,1975-09-30,France
5,Bale,Christian,1974-01-30,UK
6,Neeson,Liam,1952-06-07,UK
7,Ledger,Heath,1979-04-04,Australia
8,Hardy,Tom,1977-09-15,UK
9,Gosling,Ryan,1980-11-12,Canada
10,Cranston,Bryan,1956-03-07,USA
11,Fanning,Elle,1998-04-09,USA
12,Norton,Edward,1969-08-18,USA
13,Pitt,Brad,1963-12-18,USA
14,Freeman,Morgan,1937-06-01,USA
15,Pike,Rosamund,1979-01-27,UK
16,Affleck,Ben,1972-08-15,USA
17,Eisenberg,Jesse,1983-10-05,USA
18,Garfield,Andrew,1983-08-20,USA
19,Hamill,Mark,1951-09-25,USA
20,Ford,Harrison,1942-07-13,USA
21,Fisher,Carrie,1956-10-21,USA
22,Portman,Nathalie,1981-06-09,USA
23,McGregor,Ewan,1971-03-31,UK
24,Christensen,Hayden,1981-04-19,Canada
25,Clarke,Emilia,1986-10-23,UK
26,Harington,Kit,1986-12-26,UK
27,Bean,Sean,1959-04-17,UK
28,Wood,Evan Rachel,1987-09-07,USA
29,Hopkins,Anthony,1937-12-31,UK
30,Paul,Aaron,1979-08-27,USA
31,Patrick Harris,Neil,1973-06-15,USA
32,Hannigan,Alyson,1974-03-24,USA
33,Malek,Rami,1981-05-12,USA
34,Fimmel,Travis,1979-07-15,Australia
35,Winnick,Katheryn,1977-12-17,Canada
36,Aniston,Jennifer,1969-02-11,USA
37,Cox,Courteney,1964-06-15,USA
38,Kudrow,Lisa,1963-07-30,USA
39,Perry,Matthew,1969-08-19,USA
40,LeBlanc,Matt,1967-07-25,USA
41,Schwimmer,David,1966-11-02,USA
42,Paquin,Anna,1982-07-24,Canada
43,Moyer,Stephen,1969-10-11,UK
44,Skarsgard,Alexander,1976-08-25,UK
45,Esposito,Giancarlo,1958-04-26,USA
46,Odenkirk,Bob,1962-10-22,USA
47,Banks,Jonathan,1947-01-31,USA
48,Fox,Matthew,1966-07-14,USA
49,Lilly,Evangeline,1979-08-03,Canada
50,Holloway,Josh,1969-07-20,USA
51,Mikkelsen,Mads,1965-11-22,Danish
52,Drancy,Hugh,1975-06-19,UK
53,Krasinski,John,1979-10-20,USA
54,Fisher,Jenna,1974-03-07,USA
55,Gellar,Sarah Michelle,1977-04-14,USA
56,Boreanaz,David,1969-05-16,USA
57,Dreymon,Alexander,1983-02-07,German
58,Metz,Chrissy,1980-09-29,USA
59,Hartley,Justin,1977-01-29,USA
60,Ackles,Jensen,1978-03-01,USA
61,Padalecki,Jared,1982-07-19,USA
62,Morgan,Jeffrey Dean,1966-04-22,USA
63,Dobrev,Nina,1989-01-09,Canada
64,Wesley,Paul,1982-06-23,USA
65,Somerhalder,Ian,1978-12-08,USA
66,Lincoln,Andrew,1973-09-14,UK
67,James,Lenni,1965-10-11,UK
68,Debnam-Carey,Alycia,1993-07-20,Australia
69,Amell,Stephen,1981-03-08,Canada
70,Gustin,Grant,1990-01-14,USA
71,Panettiere,Hayden,1989-08-21,USA
72,Ventimiglia,Milo,1977-07-08,USA
73,McKellen,Ian,1939-05-25,UK
74,Wood,Elijah,1981-01-28,USA
75,Serkis,Andy,1964-04-20,UK