id_film,duree,saga,budget,box_office,id_oeuvre,id_studio
1,169,,165,702,1,2
2,162,,160,837,2,3
3,140,The Dark Knight,150,373,3,2
4,152,The Dark Knight,185,1005,4,2
5,164,The Dark Knight,250,1081,5,2
6,95,,15,81,6,4
7,118,,7,3,7,5
8,139,,63,101,8,6
9,127,,33,327,9,7
10,149,,61,369,10,6
11,120,,40,225,11,8
12,105,,200,808,12,9
13,81,Toy Story,30,372,13,9
14,92,Toy Story,90,497,14,9
15,103,Toy Story,200,1067,15,9
16,100,Toy Story,200,1073,16,9
17,92,,115,577,17,9
18,97,,180,521,18,9
19,96,,175,735,19,9
20,133,Star Wars,115,1027,20,10
21,142,Star Wars,115,654,21,10
22,140,Star Wars,113,868,22,10
23,121,Star Wars,11,776,23,10
24,124,Star Wars,33,550,24,10
25,132,Star Wars,40,475,25,10
26,228,Lord of the Rings,93,888,51,7
27,223,Lord of the Rings,94,951,52,7
28,263,Lord of the Rings,94,1142,53,7
29,137,,102,750,54,1
30,126,,76,400,55,1
31,152,,298,989,56,1
32,121,,259,1001,57,1