id_serie,nb_saisons,nb_episodes,duree_episode,id_oeuvre,id_chaine
1,8,73,50,26,2
2,3,28,60,27,2
3,9,208,20,28,3
4,4,45,45,29,4
5,6,89,45,30,5
6,10,236,20,31,6
7,7,80,50,32,2
8,5,62,45,33,7
9,5,50,45,34,7
10,6,121,40,35,8
11,3,39,40,36,6
12,9,201,25,37,6
13,7,144,45,38,9
14,4,36,45,39,10
15,5,24,40,40,6
16,5,22,60,41,11
17,15,320,40,42,12
18,8,171,45,43,12
19,10,147,45,44,7
20,6,76,45,45,7
21,1,10,45,46,7
22,5,68,40,47,13
23,8,170,45,48,12
24,7,138,45,49,12
25,4,77,45,50,6
26,1,10,50,58,1
27,1,24,40,59,1
28,1,8,45,60,1